ra,dec
161.60202424173156,-59.55346847874113
161.58200038506266,-59.55055813565066
161.56321538214823,-59.53829394050861
161.48137899566407,-59.594709534380605
161.51103198494374,-59.59428608687793
161.49211691179778,-59.590318404481216
161.49386741467242,-59.58357798347468
161.49756214860287,-59.56757461152544
161.4175180763589,-59.563506319962826
161.4609255581252,-59.56792955869664
161.43486995473646,-59.554354823585236
161.51782657886545,-59.564772394815854
161.5243765206818,-59.55841140951763
161.5406596367551,-59.53421400630413
161.51965882297932,-59.532917384939715
161.45679883944254,-59.545287838341366
161.48032465309473,-59.55387281352884
161.45790096294832,-59.52561928232025
161.49584806273913,-59.52940860468981
161.46141710038333,-59.504205949834095
161.4596590132773,-59.49889883309635
161.73318791767426,-59.59841621793402
161.732989923291,-59.60883056285252
161.69371239897984,-59.56601783055318
161.72763261271058,-59.5730878025441
161.69951361495697,-59.5457086522284
161.707809465066,-59.54004369164736
161.73725931972876,-59.54812467532998
161.76344253162262,-59.53520669474753
161.72728684457832,-59.544214617476
161.7112332933199,-59.53469653817017
161.76805983619502,-59.527735256178296
161.7548408629634,-59.52176823215798
161.73714972041208,-59.521752947878184
161.7175762295511,-59.51027416955652
161.72699022801388,-59.50132879145524
161.76429085136272,-59.49742268942314
161.67108366183032,-59.57551639267686
161.6733868145402,-59.57482757304411
161.67676543474653,-59.54866421315816
161.68090736739163,-59.542209158458235
161.69482107659442,-59.5341871964034
161.65504124209897,-59.538450746771936
161.66090742168475,-59.53396834225676
161.61061795495812,-59.543549254141794
161.62240086957078,-59.53999631489237
161.62467854763196,-59.52320350272669
161.61960915943206,-59.511233268765324
161.6331365455158,-59.517740516142915
161.61676399274327,-59.509825687511565
161.6129164185421,-59.50738805994581
161.6068750887585,-59.50310095896109
161.60495751078335,-59.50166850185444
161.59431907041818,-59.489912814777725
161.68802518358243,-59.50483304809041
161.6983759828878,-59.506490441055405
161.65698500854597,-59.51350389432403
161.6955603189536,-59.50306924383215
161.7150063473938,-59.504891930479054
161.70581016190934,-59.499369933552025
161.63518738042197,-59.50651539149842
161.6321406754239,-59.479133717272916
161.5973483823196,-59.4889299709801
161.64485169964533,-59.462187832879245
161.63372476922595,-59.45061415873561
161.56881590944738,-59.518802533886834
161.51573732627404,-59.501531605729106
161.55149834200768,-59.481471553220864
161.56139831791185,-59.480413068900916
161.50441983662503,-59.49444933207539
161.46481460204532,-59.48384503621399
161.46100951544017,-59.48869399854896
161.46608348170574,-59.4857169854949
161.50755528111293,-59.47313907908408
161.5141793438745,-59.47236330903991
161.52770024619488,-59.47143065280257
161.52047113635015,-59.465386185999925
161.58036004909687,-59.47826666461029
161.5803786191272,-59.47695636198701
161.57291703623994,-59.469574744002024
161.56572212983676,-59.457798863612645
161.59528134155227,-59.45541644194251
161.6043041602151,-59.444928250820844
161.603763747655,-59.44517198896746
161.59390718776993,-59.434245186926724
161.55383190052703,-59.44057257343456
161.58248564352652,-59.43862714220495
161.51623657538423,-59.453400650202916
161.5174448111948,-59.43121182859313
161.5561543061486,-59.42408400746394
161.50856334662836,-59.40431880015528
161.5165117481119,-59.400238250347535
161.72097046037422,-59.47681393655165
161.7153374012033,-59.46846138874276
161.6849284710919,-59.46190935317762
161.72144700746654,-59.446745116572366
161.73965080842714,-59.438916681757654
161.6571109291202,-59.4543098584827
161.66135315354967,-59.436290439171046
161.68286278220785,-59.44529027385586
161.67412095760517,-59.433171465276
161.65227842909283,-59.41725090798041
161.65477737857285,-59.417737474499944
161.66218386015157,-59.40676777651956
161.66413746203781,-59.40243579075519
161.69169363875935,-59.40297737889883
161.66179008052157,-59.39617394542032
161.65686621376415,-59.39160169899748
161.67818653113923,-59.38579961823017
161.67072275595189,-59.38660816154208
161.6648432290328,-59.37642263883938
161.60715841394546,-59.42337347120697
161.5684157132699,-59.412898085613286
161.61741654628622,-59.40699189168867
161.63072201867297,-59.400524860325866
161.58753449524224,-59.38712176152485
161.5978913710475,-59.3770243537537
161.54409233672942,-59.40391686995756
161.55514657276683,-59.396835144827755
161.53155161375483,-59.38568219799666
161.5393281522036,-59.38435654381182
161.55828786180814,-59.381024128747114
161.56255775409443,-59.38186860705932
161.55895495650705,-59.37907086766015
161.55145698861887,-59.37664646769065
161.52694686486086,-59.3660199724331
161.53799584763513,-59.353833250714125
161.64375918807121,-59.38956539793368
161.63120983620706,-59.38171613007283
161.64624876838548,-59.3714117589145
161.64551112555043,-59.35163279294033
161.64483718864182,-59.3482775863616
161.6678615031074,-59.35597815163958
161.57283501124476,-59.36018673328471
161.5939381019146,-59.356999387161004
161.58093179162324,-59.3522795272583
161.58206381230326,-59.3483190883642
161.5943230804803,-59.34625342882403
161.57913919620322,-59.33731333437076
161.6051431483086,-59.3477215808449
161.5609931914988,-59.35378197903257
161.59881869026023,-59.316536812088586
161.5800845981562,-59.32498426497675
160.75637190800063,-59.339921408449875
160.75339531282592,-59.32930977888751
160.75591439476923,-59.33016461139463
160.77051845852674,-59.31201391134752
160.97128935770934,-59.38024000996413
160.92334460929442,-59.365884956773684
160.93564389176672,-59.33466937940238
160.9567754604047,-59.34194418891766
160.94402639944016,-59.326833451933496
160.88301452673446,-59.33134607423054
160.92791937411855,-59.34358324514488
160.91317046579803,-59.33301353756568
160.9193003248793,-59.32783250677455
160.9128299451003,-59.32358839225541
160.8906995265245,-59.30784327094635
160.99820934355262,-59.33240068992205
160.97283280759507,-59.312690082884146
160.95628186583153,-59.299586413985786
160.9907791999561,-59.299665528827724
161.01701459158608,-59.30317831153211
160.96119228852578,-59.29679969024365
160.97558823870364,-59.306768597766116
160.9201503173483,-59.29822072805529
160.9115154943917,-59.28009544369241
160.94064235709985,-59.291499820382796
160.9459655571505,-59.29160658837598
160.95666484604436,-59.29232541316642
160.95323968484513,-59.27274785858485
160.9241314896832,-59.28356283144997
160.856452760888,-59.321532740038755
160.87636741820015,-59.31524763450732
160.833885636709,-59.29951669673826
160.81098455142975,-59.31024902427454
160.81822076072152,-59.30053560928441
160.78841434677258,-59.28227455615895
160.77961592281545,-59.259056404023546
160.7802700465687,-59.25900960843185
160.8929157636405,-59.28542918197515
160.86791889676869,-59.27096727713832
160.8973603586235,-59.26826712439854
160.83760007650213,-59.24699858898923
160.8081659790285,-59.26122218670714
160.80113327602422,-59.24538481022599
160.8244834229942,-59.21947463640084
160.68640247905142,-59.374359199230724
160.66079723986752,-59.3675184519699
160.66326829538457,-59.35620898466191
160.65743308498577,-59.353240317468675
160.6614495729976,-59.3523396740485
160.71587956283315,-59.358974752258746
160.68421506872244,-59.35816872613004
160.71554522358312,-59.34924886681967
160.70642921762766,-59.343409211932155
160.67093102502315,-59.33854068837179
160.67685921925064,-59.33409282515509
160.6082820727506,-59.34494365768451
160.5977604751762,-59.33134319738772
160.65641905162545,-59.33675667736384
160.64227712683416,-59.31396979227498
160.6569768721107,-59.32508362398964
160.6501611683304,-59.32362790324991
160.62788517272773,-59.329416381426455
160.7320125469061,-59.32045281871739
160.70159783702388,-59.32343782446963
160.687755568612,-59.315985888061164
160.68674797550278,-59.3037783614249
160.6876847675567,-59.30376809939201
160.68923413645888,-59.31068006478058
160.71793903095949,-59.30828034099044
160.63650952800893,-59.29671761459693
160.63280148197458,-59.28834097579629
160.66870873629108,-59.284588390659046
160.68347503507908,-59.27519109317713
160.58382141638788,-59.328706351938095
160.59269656312466,-59.30718174050456
160.59143693046698,-59.300307708798236
160.59198097221577,-59.29992976606837
160.604376637125,-59.30146122557853
160.53024400902268,-59.314460889080706
160.5366204263864,-59.31927911556525
160.53644082550687,-59.315198916210434
160.5428702618233,-59.299770819977425
160.50645288815477,-59.27968478376955
160.53160960243474,-59.276362421599934
160.55263266509598,-59.28705276692086
160.5363276089836,-59.27214194401719
160.592463985537,-59.28334244335475
160.56244235068664,-59.25530835862777
160.52753278807808,-59.25082418992681
160.53185261204763,-59.25501703140688
160.53464849474665,-59.24945255228397
160.52374702987333,-59.24059980441245
160.53731105231373,-59.24498131417421
160.58229888643777,-59.23081272825443
160.55289737593586,-59.22854975139974
160.73295191694064,-59.27716875274902
160.73573897218475,-59.27306649712079
160.74743902663045,-59.26670915961089
160.72233935106576,-59.26420674511101
160.7427642641994,-59.24944078888812
160.74001051166823,-59.240122457522205
160.68915574613163,-59.254920364998846
160.70138040274463,-59.22451366412687
160.67925224288186,-59.221827637151044
160.67571087931836,-59.2193326991372
160.66897013737804,-59.21574664835191
160.76558096647045,-59.23298574869822
160.7462816427233,-59.204810608668886
160.77289100777156,-59.20067841499962
160.72293813062018,-59.21947557316928
160.713923273793,-59.21451837061246
160.73634586753445,-59.20890675899163
160.72645906526873,-59.2095224042636
160.73840638538067,-59.19066623682742
160.6339455653724,-59.22607309415618
160.6413187904939,-59.2272091410855
160.6482573720935,-59.22826871196247
160.64193264451782,-59.21117207834272
160.65279911147672,-59.218325496103795
160.48312751125593,-59.28715388963051
160.48294629389915,-59.28724938631207
160.57541398241574,-59.209991044759676
160.46889636884904,-59.27536370573465
160.48163636759602,-59.27987227296835
160.48258768643538,-59.27128098225392
160.4924034789466,-59.2765368693075
160.68446133847075,-59.184990014321876
160.513149047522,-59.23805505877653
160.51530878295154,-59.23971126456197
161.0104843961583,-59.28366951544866
161.03102058306555,-59.277741660564004
160.98508343817267,-59.25980469798941
160.99926526629196,-59.265211115916884
161.02279857912282,-59.25398840514474
161.0010535623646,-59.24242737658143
160.95173390513386,-59.25410510129401
160.94524123726717,-59.2619060622794
160.95686154373033,-59.26790201380928
160.97194870532633,-59.26697370678443
160.9461649971265,-59.2630896045358
160.93751063117224,-59.25439592559094
160.93734846998825,-59.23824480951735
160.97339939838693,-59.24075405709762
160.9721999654301,-59.23724781147574
160.95634485202967,-59.22961783988343
160.95936865420484,-59.22242129884202
160.96875829658734,-59.21770703869291
160.95410156211355,-59.20926326918619
161.02826644278798,-59.2386864155949
161.03013277053964,-59.21595343912108
161.04614747363527,-59.196934525039474
160.9844418275341,-59.2086818595242
161.00543443174317,-59.211454790519795
160.94739859033587,-59.202772551726014
160.90293559208968,-59.228486506021135
160.920148251146,-59.22461457007053
160.88604924100667,-59.215374900014325
160.89738727798772,-59.21727798401985
160.92969789012574,-59.22157395583824
160.887780325086,-59.19912286896126
160.9123432704252,-59.19830300048524
160.91517411751823,-59.19775528544889
160.85993234221584,-59.22416801559901
160.8456164334114,-59.21472636737152
160.85479413956176,-59.2040885515039
160.86510875243061,-59.20736001563696
160.8257475524162,-59.1971330224833
160.83986285711845,-59.206971475818534
160.82900741183795,-59.191554261765866
160.8367550049238,-59.1864388126291
160.83926804428026,-59.19121798742648
160.87169412632528,-59.195365347965755
160.85085043245118,-59.17705843048045
160.92504508488994,-59.19383211698968
160.9280447921865,-59.18037397358841
160.90760044456675,-59.17762314558554
160.92565930452307,-59.178891464577326
160.9283721149863,-59.16298197730606
160.87357535969758,-59.16212165812151
160.87602074434312,-59.16418587656262
160.89778409454874,-59.16741181947247
161.51932139238323,-59.27275080872486
161.0751945470688,-59.18151951826765
161.4882594529721,-59.26031185625505
161.06238963027593,-59.15845744831934
161.4809046726876,-59.25201756752581
161.49029555085443,-59.251225842745235
161.46800734447172,-59.23848102923636
161.47841548253885,-59.24051510381199
160.99699171772616,-59.159304415854976
160.99468815471423,-59.15491400969867
161.4368805495631,-59.24197657890464
160.80702585686694,-59.19674701883923
160.81069708678322,-59.18093399931966
160.77515424097265,-59.18684668051307
160.77909843940586,-59.183655234913346
160.81795012830318,-59.17419351903358
160.81354734240062,-59.159867169957
160.75346759279788,-59.16759938727583
161.61758685951028,-59.319406152566664
161.61002644500704,-59.31788740349676
161.0769698286349,-59.94550632018778
161.0869799320705,-59.93419763671835
161.08776026097644,-59.93902689107779
161.08094614757954,-59.93776874624909
161.05386939283397,-59.92760992574314
161.06484680423418,-59.91798086863589
160.95015781618784,-59.9370879854187
160.91758773208844,-59.92397066310903
160.92521004622157,-59.92540458337409
161.02530328765454,-59.945957266656414
161.01713136352103,-59.939880745209756
160.99344383619822,-59.935970055157334
161.0009697322219,-59.94175994633127
161.00860321242718,-59.93217844717804
161.04670595726756,-59.925169404301975
161.0477542758579,-59.91892728781793
161.02213001990583,-59.91047745787966
160.95064193224962,-59.92157927866852
160.94073688104476,-59.910358225069686
160.98030758141567,-59.90715924465656
160.9912507032466,-59.90483441811683
160.95158595986504,-59.89657013981469
160.9377703332885,-59.89038630486937
160.94366865055304,-59.87919539724876
160.96148896869127,-59.87717153134967
161.13580575123817,-59.925650880878536
161.1524324702152,-59.9322224678416
161.15190150724973,-59.9269585314263
161.17412217654257,-59.93297617248941
161.1707666873811,-59.90913992545301
161.188448899424,-59.91152127380973
161.13502650773154,-59.91262670933731
161.15827538854006,-59.91576902916818
161.14310415247084,-59.903969544224786
161.1531921932035,-59.90688034207681
161.10304989500239,-59.92871854931444
161.10602466579493,-59.921853483344535
161.12430644323285,-59.91447911933294
161.06060652355563,-59.913660354286215
161.07990686338812,-59.920783718831345
161.0971748143089,-59.903757414111595
161.09859724432604,-59.903834448353756
161.11473361024028,-59.88485318380878
161.08814337988653,-59.86992349211096
161.0945263188963,-59.88134519712839
161.18753467937967,-59.90299643763261
161.20013347091003,-59.9082034044853
161.18823209303264,-59.903139719994016
161.17918643871135,-59.89683511227439
161.18962650981987,-59.881547530791686
161.16907280942888,-59.89158186981914
161.16754404866327,-59.87219448394862
161.21423817951663,-59.88743475109256
161.2034554040461,-59.876235986377026
161.20540812311057,-59.86244691743634
161.17566133859944,-59.8671999205042
161.19082942799284,-59.86876459384299
161.13709728145372,-59.88143998577636
161.12529416352658,-59.87059548097259
161.14444344465994,-59.873269621818785
161.15069262865546,-59.85237006488822
161.02245960256093,-59.89295599291246
161.03184338328512,-59.89527094630251
161.03687285720372,-59.889781617370154
161.04052174519148,-59.878743843944214
161.0461468748429,-59.87849459962536
161.020341128633,-59.874825195536715
161.0412661726579,-59.876808123599396
161.07826771997384,-59.86360602810146
161.02569796218955,-59.86647461333165
161.00409498314468,-59.87743162726807
161.0014857243859,-59.87430170401285
160.9897162693489,-59.86936987369224
161.00984133126912,-59.86793725489421
161.01165235689706,-59.87653867056327
160.97866186597656,-59.86751073819971
161.0086878952975,-59.832597427115154
160.98280703134273,-59.83409595786196
161.00298050348167,-59.83105459343284
161.0924290103904,-59.84929969726841
161.0612362173329,-59.85350952586187
161.06474960207035,-59.833252692031785
161.0740554846972,-59.81562144654854
161.03168902638467,-59.84212911399098
161.03024978116176,-59.812829261706305
160.9881843802373,-59.82314425309473
161.011198993181,-59.82139886153316
161.03690350745097,-59.8130306204434
161.04971579367574,-59.810991007988505
161.03330358180358,-59.799646705695515
161.051141096175,-59.79923957942356
161.04759414457692,-59.8030506543077
161.01547250430556,-59.803929820508074
160.99672669263256,-59.79503462560658
161.0120285408312,-59.80011104008007
160.86547700652002,-59.93744960390677
160.8516410920891,-59.92289993676868
160.86223694646944,-59.92259563889496
160.89679254087082,-59.920875638943336
160.91562251692625,-59.921253013745805
160.85816432685746,-59.91307063626041
160.88213621346176,-59.919615619249235
160.84433448711476,-59.920790835663745
160.82923193546222,-59.908573115293066
160.80776668722285,-59.91621919302427
160.85619159883254,-59.90169891204591
160.80011710791692,-59.89128677950347
160.9022169527805,-59.890572217900235
160.91704551021783,-59.88471785407597
160.91930424824395,-59.87169095908829
160.92907517728716,-59.887003982002604
160.89030369794872,-59.86550090602911
160.8621405885253,-59.884978997691256
160.85758767293072,-59.88011629940449
160.86039301614264,-59.86706882693555
160.85779305432658,-59.859333060467364
160.821173365516,-59.86911440098032
160.88170626633638,-59.84882410895116
160.84739290032635,-59.8519532495322
160.85276318085047,-59.85044122930052
160.85637847667059,-59.831673710319876
160.77575067701306,-59.90294442557866
160.77482779791524,-59.906262481635686
160.7733068506994,-59.888394886500706
160.75524525051003,-59.89395990937204
161.2647407537247,-59.68445877770452
161.26536341372773,-59.685425871105394
160.78096545955225,-59.880310837413724
160.77182539079786,-59.87857666889583
160.80283039670135,-59.87532062003084
160.76231014566824,-59.863616296470056
160.76566307674065,-59.87392376209415
160.7784974567035,-59.85558478401435
160.76526283406295,-59.860799112836965
160.76655391950456,-59.86085119753073
160.77222628032666,-59.86096510286357
160.76691390730252,-59.85565178370673
160.76685476928733,-59.84848816056274
160.70996811565018,-59.87466474613942
160.6881662429369,-59.87208779567109
160.73658951666093,-59.85888716147122
160.75447076875975,-59.847750436404475
160.73312952500564,-59.833558550739546
160.7521878422927,-59.84072692496471
160.815550148646,-59.851543176396945
160.80795297791187,-59.84929988343076
160.77127526333877,-59.8323659613407
160.76997322941807,-59.83092351775537
160.7790665284153,-59.834660370354726
160.78401402457183,-59.83131616941838
160.81472283763668,-59.8228191258462
160.81703097487298,-59.814769400193214
160.83926664791986,-59.82358544822893
160.76052841586227,-59.837569562319054
160.76150395461406,-59.83638808406325
160.7646302982274,-59.83317158476726
160.7520650327923,-59.814393551730554
160.71399038238286,-59.82045518109521
160.71802647285634,-59.816705493500656
160.7673675340462,-59.81632365604325
160.74048791633848,-59.79707391048348
160.72464185975238,-59.79275546742084
160.73648395774194,-59.79637901737413
160.9374586511891,-59.85652617744056
160.75532341970137,-59.791689253904565
160.9504613518699,-59.845662555459974
160.96193741290332,-59.84189416220953
160.93026085304922,-59.83733182356177
160.9558212769197,-59.82818699867021
160.9333059462995,-59.80494568332334
160.89000348386338,-59.839395821204924
160.87597480354714,-59.82667170119151
160.8911439223693,-59.8326359294737
160.89193428378985,-59.812073852228515
160.9056837974594,-59.80672386685396
160.9075405165853,-59.79209128381297
160.8816386883832,-59.795669502789295
160.8814970614442,-59.8018328213484
160.88749286991037,-59.79222170300743
160.97001845091552,-59.7903443437418
160.9650663690939,-59.79277294836194
160.94618161019906,-59.7863882208466
160.94679338626946,-59.78205837422887
160.95864109970677,-59.78401878432319
160.97330217685322,-59.78133539219153
160.95141068159882,-59.7667398407844
160.9751361787226,-59.76957991796229
160.92871374230134,-59.78995289113758
160.91592240989448,-59.77758497938404
160.9136845150516,-59.77586098922805
160.88377835926775,-59.776800793932956
160.9150410063816,-59.7596528472889
160.92921738305665,-59.75926716107992
160.84446083146003,-59.81542243256748
160.8383089640606,-59.775312357487955
160.82899219222952,-59.78246220471298
160.8306966486634,-59.77614318893455
160.8217717033223,-59.77203239900872
160.79623965712062,-59.74639124206163
160.7996123283457,-59.741777979619926
160.7629995258512,-59.74376550790761
160.77980332300746,-59.73352640946555
160.85895462576747,-59.76185797594384
160.87646680804022,-59.74570275884583
160.87579587818016,-59.74587264159803
160.84467530224615,-59.7534242929571
160.86904716437053,-59.7359617917787
160.8934125185848,-59.72401166927485
160.8812184776465,-59.72614183803603
160.8930609549118,-59.724337262099446
160.87353897111768,-59.71457541557462
160.88130715642643,-59.71756989180973
160.86140277122223,-59.718542752950086
160.7965529933748,-59.73916467363989
160.80982576769216,-59.73771205221263
160.80630598083036,-59.72316187257137
160.83174428843293,-59.71038601761978
160.8189388147296,-59.711121697757214
160.83095231567054,-59.71053791385417
160.8315341884558,-59.70990021041096
160.8302842315975,-59.69542898249104
160.80856726588638,-59.70292471434814
160.79534449078145,-59.68096653720624
161.22291543702974,-59.86499164615718
161.2148272467965,-59.841239151725276
161.22834558987176,-59.8495518300713
161.1981613985434,-59.852530662405684
161.1866396520962,-59.84251417757238
161.19103647108528,-59.83404073069705
161.23961990896188,-59.83437226455432
161.24489216037855,-59.82250381110331
161.2132701507591,-59.82521612434816
161.1523114385232,-59.829845192681574
161.18524708787896,-59.820430704245865
161.1894708063043,-59.79470103003992
161.14780428606298,-59.80229338151748
161.16103407057858,-59.80391999277821
161.15287750413543,-59.79157102914837
161.16742020621194,-59.78290788985863
161.26210763679666,-59.80808837210821
161.22334121925803,-59.797193265396466
161.22344493731208,-59.783187332972005
161.26678531525215,-59.77477326272577
161.23677080507204,-59.769590866075795
161.2317361623805,-59.75488565340835
161.19152574284573,-59.78589674314635
161.2045984066861,-59.78342145124714
161.18878822024573,-59.776120254926035
161.1920315673581,-59.768223988991075
161.17408940548134,-59.782324263232375
161.1702167592409,-59.756856240431645
161.22471728403423,-59.75665189572928
161.18587057925245,-59.737062369923486
161.18682541015798,-59.73438232410161
161.11530331881613,-59.80866829746098
161.121245868496,-59.805792429008925
161.12119632587442,-59.804610390024756
161.12367416553923,-59.79889672303707
161.1024821831909,-59.78936786797333
161.08460512560973,-59.7979425555857
161.07449463830037,-59.78726987609794
161.07307418263946,-59.790567577668476
161.07554114289036,-59.77952163706084
161.0977842370423,-59.768598993722286
161.10197554725698,-59.764651632663174
161.10967305709158,-59.76051554341412
161.06463487264904,-59.77988028786261
161.02789998071023,-59.780640440337436
161.04129353411068,-59.77181443145056
161.06446182325544,-59.75309578136564
161.07746620457127,-59.74636203246282
161.04885771417324,-59.740738558491145
161.1399407065112,-59.768734979231006
161.13159233583693,-59.75772140614778
161.1477192014541,-59.76072569047414
161.1346836407921,-59.74193901139106
161.11577272864199,-59.75591715695271
161.10246300131104,-59.7384337145385
161.11726204859227,-59.72965897183735
161.11947798278214,-59.733787252626065
161.13069558653413,-59.73552615081615
161.1355613346725,-59.735158174044926
161.1405133328893,-59.73760758059634
161.15898104490068,-59.73714468056352
161.1674067039618,-59.72777944473442
161.15920566780989,-59.71820827154203
161.17406275550337,-59.72535900199318
161.1205859056016,-59.72978896993824
161.12067329871945,-59.709491839676296
161.14226399861343,-59.7192480482685
